"numer_kolumny";"nazwa_kolumny";"opis_kolumny"
1;"NUMER.GD";"Numer identyfikacyjny gospodarstwa"
2;"L.OSOB.2000b";"liczba osob w gospodarstwie w 2000"
3;"L.OSOB.2003b";"liczba osob w gospodarstwie w 2003"
4;"L.OSOB.2005b";"liczba osob w gospodarstwie w 2005"
5;"L.OSOB.2007b";"liczba osob w gospodarstwie w 2007"
6;"L.OSOB.2009b";"liczba osob w gospodarstwie w 2009"
7;"L.OSOB.2011b";"liczba osob w gospodarstwie w 2011"
8;"WAGA.GD.2000";"Waga proby z 2000 r."
9;"WAGA.GD.2003";"Waga proby z 2003 r."
10;"WAGA.GD.2005";"Waga proby z 2005 r."
11;"WAGA.GD.2007";"Waga proby z 2007 r."
12;"WAGA.GD.2009";"Waga proby z 2009 r."
13;"WAGA.GD.2011";"Waga proby z 2011 r."
14;"WAGA.GD.2007.2009";"WAGA PROBY PANELOWEJ 2007-2009"
15;"WAGA.GD.2007.2011";"WAGA PROBY PANELOWEJ 2007-2011"
16;"WAGA.GD.2009.2011";"WAGA PROBY PANELOWEJ 2009-2011"
17;"KLASA.MIEJSOWOSCI";"Klasa miejscowosci zamieszkania"
18;"WOJEWODZTWO";"Wojewodztwo"
19;"Podregion";"Podregion NUTS3"
20;"MIASTO";"Miasto"
21;"azug";"Zrodlo utrzymania gosp.dom. 2000"
22;"azug.B";"Zrodlo utrzymania gosp.dom. 2000"
23;"ae1";"Dochod netto w miesiacu lutym w gospodarstwie domowym"
24;"ae2";"Czy dochod w porownaniu z innymi miesiacami byly wyzsze"
25;"ae3";"Przecietny miesieczny dochod w ubieglym roku"
26;"ae4";"Czy wiaze koniec z koncem?"
27;"ae5";"Najnizszy dochod do powiazania konca z koncem"
28;"ae6";"Dochod dzajacy satysfakcjonujacy poziom zycia"
29;"ae7";"Ocena poziomu dochodu w Pana(i) gospodarstwie"
30;"ae8";"Czy stale dochody wystarczaja na biezace potrzeby"
31;"ae9.1";"Brak - wykorzystuje zgromadzone oszczednosci"
32;"ae9.2";"Brak - wyzbywa sie majatku (sprzedaje, zastawia)"
33;"ae9.3";"Brak - ogranicza biezace potrzeby"
34;"ae9.4";"Brak - zaciaga pozyczki"
35;"ae9.5";"Brak - korzysta z pomocy krewnych"
36;"ae9.6";"Brak - korzysta z pomocy kosciola"
37;"ae9.7";"Brak - korzysta z pomocy opieki spolecznej"
38;"ae9.8";"Brak - domownik podejmuje dodatkowa prace"
39;"ae9.9";"Brak - podejmuje inne dzialania"
40;"ae9.10";"Brak - nie podejmuje zadnych dzialan"
41;"ae10";"Jak sie zmienila sytuacja dochodowa"
42;"af1.1";"Stac go na pieczywo"
43;"af1.2";"Stac go na make, kasze i inne zbozowe"
44;"af1.3";"Stac go na warzywa i przetwory warzywne"
45;"af1.4";"Stac go na owoce i przetwory owocowe"
46;"af1.5";"Stac go na mieso i drob"
47;"af1.6";"Stac go na przetwory miesne i drobiowe"
48;"af1.7";"Stac go na ryby i przetwory rybne"
49;"af1.8";"Stac go na maslo"
50;"af1.9";"Stac go na mleko"
51;"af1.10";"Stac go na przetwory mleczne"
52;"af1.11";"Stac go na cukier"
53;"af1.12";"Stac go na wyroby cukiernicze"
54;"af1.13";"Stac go na uzywki"
55;"af2.1";"Czy uzyskal zywnosc z wlasnej dzialki"
56;"af2.2";"Czy uzyskal zywnosc od rodziny"
57;"af2.3";"Czy uzyskal zywnosc nieodplatnie od innych"
58;"af3";"Rola darmowej zywnosci w zaopatrzeniu"
59;"af4";"Ocena zaspokojenie potrzeb zywnosciowych"
60;"ag1.1";"garaz"
61;"ag1.1a";"brak srodkow na garaz"
62;"ag1.2";"pralka automatyczna"
63;"ag1.2a";"brak srodkow na pralke automatyczna"
64;"ag1.3";"pralka nieautomatyczna"
65;"ag1.3a";"brak srodkow na pralke nieautomatyczna"
66;"ag1.4";"chlodziarka"
67;"ag1.4a";"brak srodkow na chlodziarke"
68;"ag1.5";"zamrazarka"
69;"ag1.5a";"brak srodkow na zamrazarke"
70;"ag1.6";"zmywarka do naczyn"
71;"ag1.6a";"brak srodkow na zmywarke do naczyn"
72;"ag1.7";"kuchenka mikrofalowa"
73;"ag1.7a";"brak srodkow na kuchenke mikrofalowa"
74;"ag1.8";"telewizor czarno-bialy"
75;"ag1.8a";"brak srodkow na telewizor czarno-bialy"
76;"ag1.9";"telewizor kolorowy"
77;"ag1.9a";"brak srodkow na telewizor kolorowy"
78;"ag1.10";"TV-sat. lub telewizja kablowa"
79;"ag1.10a";"brak srodkow na TV-sat lub kabel"
80;"ag1.11";"magnetowid"
81;"ag1.11a";"brak srodkow na magnetowid"
82;"ag1.12";"radioodbiornik"
83;"ag1.12a";"brak srodkow na radioodbiornik"
84;"ag1.13";"radiomagnetofon"
85;"ag1.13a";"brak srodkow na radiomagnetofon"
86;"ag1.14";"odtwarzacz CD"
87;"ag1.14a";"brak srodkow na odtwarzacz CD"
88;"ag1.15";"komputer osobisty"
89;"ag1.15a";"brak srodkow na komputer osobisty"
90;"ag1.16";"samochod osobowy"
91;"ag1.16a";"brak srodkow na samochod osobowy"
92;"ag1.17";"lodz motorowa, zaglowa"
93;"ag1.17a";"brak srodkow na lodz motorowa, zaglowa"
94;"ag1.18";"dzialka pracownicza"
95;"ag1.18a";"brak srodkow na dzialke pracownicza"
96;"ag1.19";"dzialka rekreacyjna"
97;"ag1.19a";"brak srodkow na dzialke rekreacyjna"
98;"ag1.20";"domek letniskowy"
99;"ag1.20a";"brak srodkow na domek letniskowy"
100;"ag1.21";"telefon komorkowy"
101;"ag1.21a";"brak srodkow na telefon komorkowy"
102;"ag2";"Czy ma jakies oszczednosci?"
103;"ag3";"Laczna wartosc oszczednosci"
104;"ag4.1";"Oszczednosci - w bankach w zl"
105;"ag4.2";"Oszczednosci - w bankach w walutach obcych"
106;"ag4.3";"Oszczednosci - w obligacjach"
107;"ag4.4";"Oszczednosci - w funduszu powierniczym"
108;"ag4.5";"Oszczednosci - w papierach na gieldzie"
109;"ag4.6";"Oszczednosci - w prywatnych sp.akcyjnych"
110;"ag4.7";"Oszczednosci - w nieruchomosciach"
111;"ag4.8";"Oszczednosci - w innych dobrach materialnych"
112;"ag4.9";"Oszczednosci - w gotowce"
113;"ag4.10";"Oszczednosci - w innej formie"
114;"ag5.1";"Oszczednosci - rezerwa na konsumpcyjne"
115;"ag5.2";"Oszczednosci - stale oplaty"
116;"ag5.3";"Oszczednosci - zakup dobr trwalego uzytku"
117;"ag5.4";"Oszczednosci - zakup domu, mieszkania"
118;"ag5.5";"Oszczednosci - remont domu, mieszkania"
119;"ag5.6";"Oszczednosci - leczenie"
120;"ag5.7";"Oszczednosci - wypoczynek"
121;"ag5.8";"Oszczednosci - rezerwa na sytuacje losowe"
122;"ag5.9";"Oszczednosci - przyszlosci dzieci"
123;"ag5.10";"Oszczednosci - na inne cele"
124;"ag5.11";"Oszczednosci - bez specjalnego przeznaczenia"
125;"ag6";"Czy korzysta z pozyczek lub kredytow?"
126;"ag7";"Ile wynosi zadluzenie gospodarstwa"
127;"ag8.1";"Pozyczki w bankach"
128;"ag8.2";"Pozyczki w innych instytucjach"
129;"ag8.3";"Pozyczki u osob prywatnych"
130;"ag9.1";"Pozyczki na biezaca konsumpcyje"
131;"ag9.2";"Pozyczki stale oplaty"
132;"ag9.3";"Pozyczki na dobra trwalego uzytku"
133;"ag9.4";"Pozyczki na zakup domu, mieszkania"
134;"ag9.5";"Pozyczki na remont domu, mieszkania"
135;"ag9.6";"Pozyczki na leczenie"
136;"ag9.7";"Pozyczki na narzedzia pracy"
137;"ag9.8";"Pozyczki na wypoczynek"
138;"ag9.9";"Pozyczki na papiery wartosciowe"
139;"ag9.10";"Pozyczki na ksztalcenie"
140;"ag9.11";"Pozyczki na na inne cele"
141;"ag10";"Ocena zasobnosc materialnej gospodarstwa"
142;"ah1";"Czy ma mieszkanie samodzielne"
143;"ah2";"Ile izb ma gospodarstwo wylacznie dla siebie"
144;"ah3";"Ile izb ma gospodarstwo wspolnie z innymi"
145;"ah4";"Ile izb jest w calym mieszkaniu"
146;"ah5";"Ile pokoi ma gospodarstwo wspolnie z innymi"
147;"ah6";"Ile pokoi ma gospodarstwo wylaczniedla siebie"
148;"ah7";"Ile pokoi jest w calym mieszkaniu"
149;"ah8";"Powierzchnia uzytkowa calego mieszkania"
150;"ah9";"Powierzchnia uzytkowa mieszkania gospodarstwa"
151;"ah10";"Tytulu do uzytkowania mieszkania"
152;"ah11";"W jakim budynku jest mieszkanie"
153;"ah12.1";"wodociag"
154;"ah12.2";"ustep splukiwany woda biezaca"
155;"ah12.3";"lazienka z wanna lub prysznicem"
156;"ah12.4";"ciepla woda biezaca"
157;"ah12.5";"gaz z sieci"
158;"ah12.6";"gaz z butli"
159;"ah12.7";"telefon"
160;"ah13";"Jakie jest ogrzewane"
161;"ah14";"Jak uczestniczy w kosztach mieszkania"
162;"ah15.1";"Ile za energie elektryczna i gaz"
163;"ah15.2";"Ile za czynsz i inne stale oplaty"
164;"ah16.1";"Czy zalega z oplata za mieszkanie"
165;"ah16.2";"Czy zalega z oplata za energie"
166;"ah16.3";"Czy zalega ze splata kredytu mieszk."
167;"ah17.1";"Okres zalegania z oplatami za mieszkanie"
168;"ah17.2";"Okres zalegania z oplatami za energie"
169;"ah17.3";"Okres zalegania ze splata kredytu mieszk."
170;"ah18";"Czy otrzymuje pomoc na cele mieszkaniowe"
171;"ah19.1";"Czy otrzymuje dodatek mieszk. z UG"
172;"ah19.2";"Czy otrzymuje zasilek z pom.spol."
173;"ah19.3";"Czy otrzymuje inne formy pomocy"
174;"ah20";"Jak czesto otrzymywal pomoc"
175;"ah21";"Ile wynosila pomoc w ubieglym roku"
176;"ah22";"Ocena warunkow mieszkaniowych"
177;"ai1.1";"Czy potrzebuje pomocy finansowej"
178;"ai1.2";"Czy potrzebuje pomocy rzeczowej"
179;"ai1.3";"Czy potrzebuje pomocy w formie uslug"
180;"ai1.4";"Czy potrzbnuje pomocy w formie porad"
181;"ai2.1";"Czy otrzymuje pomoc finansowa?"
182;"ai2.2";"Czy otrzymuje pomoc rzeczowa?"
183;"ai2.3";"Czy otrzymuje pomoc w formie uslug"
184;"ai2.4";"Czy otrzymuje pomoc w formie porad"
185;"ai3.1.1";"pom.finans.- osrodki pomocy spol."
186;"ai3.1.2";"pom.finans.- rodzina w kraju"
187;"ai3.1.3";"pom.finans.- rodzina za granica"
188;"ai3.1.4";"pom.finans.- znajomi lub przyjaciele"
189;"ai3.1.5";"pom.finans.- organizacje charytatywne swieckie"
190;"ai3.1.6";"pom.finans.- organizacje wyznaniowe i parafie"
191;"ai3.1.7";"pom.finans.- zwiazki zawodowe i zaklady pracy"
192;"ai3.1.8";"pom.finans.- inne"
193;"ai3.2.1";"pom.rzecz.- osrodki pomocy spolecznej"
194;"ai3.2.2";"pom.rzecz.- rodzina w kraju"
195;"ai3.2.3";"pom.rzecz.- rodzina za granica"
196;"ai3.2.4";"pom.rzecz.- znajomi lub przyjaciele"
197;"ai3.2.5";"pom.rzecz.- organizacje charyt.swieckie"
198;"ai3.2.6";"pom.rzecz.- organizacje wyznaniowe"
199;"ai3.2.7";"pom.rzecz.- zw.zawodowe i zakl.pracy"
200;"ai3.2.8";"pom.rzecz.- inne"
201;"ai3.3.1";"pom.uslugowa - osrodki pomocy spolecznej"
202;"ai3.3.2";"pom.uslugowa - rodzina w kraju"
203;"ai3.3.3";"pom.uslugowa - rodzina za granica"
204;"ai3.3.4";"pom.uslugowa - znajomi lub przyjaciele"
205;"ai3.3.5";"pom.uslugowa - organizacje charyt.swieckie"
206;"ai3.3.6";"pom.uslugowa - organizacje wyznaniowe"
207;"ai3.3.7";"pom.uslugowa - zw.zawodowe i zakl.pracy"
208;"ai3.3.8";"pom.uslugowa - inne"
209;"ai3.4.1";"pom.przez porade - osrodki pomocy spolecznej"
210;"ai3.4.2";"pom.przez porade - rodzina w kraju"
211;"ai3.4.3";"pom.przez porade - rodzina za granica"
212;"ai3.4.4";"pom.przez porade - znajomi lub przyjaciele"
213;"ai3.4.5";"pom.przez porade - organizacje charyt.swieckie"
214;"ai3.4.6";"pom.przez porade - organizacje wyznaniowe"
215;"ai3.4.7";"pom.przez porade - zw.zawodowe i zakl.pracy"
216;"ai3.4.8";"pom.przez porade - inne"
217;"ai4.1";"Jak czesto korzysta z pomocy finansowej"
218;"ai4.2";"Jak czesto korzysta z pomocy rzeczowej"
219;"ai4.3";"Jak czesto korzysta z pomocy w formie uslug"
220;"ai4.4";"Jak czesto korzysta z pomocy w formie porad"
221;"ai5.1";"Jakie znaczenie ma pomoc finansowa"
222;"ai5.2";"Jakie znaczenie ma pomoc rzeczowa"
223;"ai5.3";"Jakie znaczenie ma pomoc w formie uslug"
224;"ai5.4";"Jakie znaczenie ma pomoc w formie porad"
225;"ai6.1";"Czy ktos jest podopiecznym osrodka pomocy"
226;"ai6.2";"Czy ktos jest podopiecznym org.charyt.swieckich"
227;"ai6.3";"Czy ktos jest podopiecznym org.wyznaniowych"
228;"ai6.4";"Czy ktos jest podopiecznym innych organizacji"
229;"aj1";"Czy jest dziecko, ukonczylo podstawowa i sie nie uczy"
230;"aj2.1";"A-Dlaczego dziecko nie uczy po podstawowce"
231;"aj2.2";"B- Dlaczego dziecko nie uczy po podstawowce"
232;"aj2.3";"C- Dlaczego dziecko nie uczy po podstawowce"
233;"aj3";"Czy jest, ukonczylo zasadnicza i sie nie uczy"
234;"aj4.1";"A-Dlaczego dziecko nie uczy po zasadniczej"
235;"aj4.2";"B-Dlaczego dziecko nie uczy po zasadniczej"
236;"aj4.3";"C-Dlaczego dziecko nie uczy po zasadniczej"
237;"aj5";"Czy jest dziecko, ukonczylo srednia i sie nie uczy"
238;"aj6.1";"A-Dlaczego dziecko nie uczy po sredniej"
239;"aj6.2";"B-Dlaczego dziecko nie uczy po sredniej"
240;"aj6.3";"C-Dlaczego dziecko nie uczy po sredniej"
241;"aj7.1";"Wydatek na czesne"
242;"aj7.2";"Wydatek na komitet rodzicielski"
243;"aj7.3";"Wydatek na imprezy szkolne"
244;"aj7.4";"Wydatek na wyposazenie szkolne"
245;"aj7.5";"Wydatek na zajecia dodatkowe"
246;"aj7.6";"Wydatek na imprezy pozaszkolne"
247;"aj7.7";"Wydatek na dojazdy do szkoly"
248;"aj7.8";"Wydatek na zakup podrecznikow"
249;"aj7.9";"Wydatek na zakwaterowanie poza domem"
250;"aj7.10";"Wydatek na korepetycje"
251;"aj7.11";"Wydatek na inne cele"
252;"aj8.1";"Zrezygnowal z posylania dziecka do szkoly"
253;"aj8.2";"Zrezygnowal z podjecia zajec dodatkowych przez dziecko"
254;"aj8.3";"Ograniczyl lub zawiesil wplaty na szkole"
255;"aj8.4";"Zrezygnowal z korzystania przez dziecko z obiadow"
256;"aj8.5";"Zrezygnowal z dania dziecku korepetycji"
257;"aj8.6";"Zmianil szkole na wymagajaca mniejszych oplat"
258;"aj8.7";"Byl zmuszony do innych ograniczen"
259;"aj9.1";"Czy korzysta z jezykow obcych"
260;"aj9.2";"Czy korzysta z zajec sportowych"
261;"aj9.3";"Czy korzysta z muzyki, rytmiki, tanca"
262;"aj9.4";"Czy korzysta z zajec komputerowych"
263;"aj9.5";"Czy korzysta z korepetycji"
264;"aj9.6";"Czy korzysta z treningu pamieci"
265;"aj9.7";"Czy korzysta z zajec plastycznych"
266;"aj9.8";"Czy korzysta z innych"
267;"aj10";"Czy dzieci korzystaly z pomocy spolecznej w szkole"
268;"aj11.1";"Szkola + osrodki pomocy spolecznej"
269;"aj11.2";"Szkola + panstwowe zrodla pomocy"
270;"aj11.3";"Szkola + organizacje charytatywne swieckie"
271;"aj11.4";"Szkola + organizacje charytatywne wyznaniowe"
272;"aj11.5";"Szkola + pozarzadowe zrodla pomocy"
273;"aj11.6";"Szkola + komitet rodzicielski"
274;"aj11.7";"Szkola + inne zrodla pomocy"
275;"aj12";"Ocena ksztalcenia dzieci"
276;"aj13";"Czy wie cos na temat reformy oswiaty"
277;"aj14.1";"O reformie oswiaty z radia"
278;"aj14.2";"O reformie oswiaty z TV"
279;"aj14.3";"O reformie oswiaty z prasy"
280;"aj14.4";"O reformie oswiaty z kontaktow ze szkola"
281;"aj14.5";"O reformie oswiaty z rozmow"
282;"aj14.6";"O reformie oswiaty z materialow MEN"
283;"aj14.7";"O reformie oswiaty z innych zrodel"
284;"aj15";"Ocenia nowego systemu szkolnego"
285;"aj16.1";"nowy system niczego nie zmienia w oswiacie"
286;"aj16.2";"nie stac nas finansowo na te reforme"
